id,channel,text,audio_file,audio_path
0,@baihoc10phut,Đây là một trò chơi số đề khá thông dụng với nhiều người và khá nhiều người ham thích trò chơi này.,audio_0000.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0000.wav
1,@ThanhPahm,Đấy không phải là do tôi ngu mà tôi nghĩ là chắc là có một cái thế lực huyền bí nào đó hay là một cái lời nguyền nào đó nó cản trở mình thực hiện cái video này đấy.,audio_0001.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0001.wav
2,@meGAME_Official,"Ngoài ra, nó còn bị loại bỏ mắt cùng với tai bị khoăn bằng đỉnh, dùng để chống lại tuyệt chiêu thôi miên của TV Man.",audio_0002.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0002.wav
3,@FonosVietnam,Xu chỉ cần té tôi lo con chấn thương não.,audio_0003.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0003.wav
4,@PhanTichGame,Hành trình đi tìm con mắt ánh sáng đã dẫn Bayonetta vượt qua những thế lực và một nữ phù thủy luôn tìm cách chiếm đoạt con mắt bóng tối.,audio_0004.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0004.wav
5,@HungyentvVnGo,"Bà Hằng có quyền ngồi sổm trên pháp luật không? đăng tải ngày 3 tháng 9 năm 2021 và xác định bà Hằng Ni có 4 phát ngôn liên quan đến thông tin, bí mật cá nhân, bí mật gia đình và đời sống riêng tư của bà Nguyễn Phương Hằng.",audio_0005.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0005.wav
6,@VoizFM,"Lúc ấy, có rất nhiều cậu bé đang chăn trâu bò.",audio_0006.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0006.wav
7,@vietnh1009,Bằng cấp là một thứ mất rất là nhiều thời gian để có thể đạt được và rất khó để có thể làm lại.,audio_0007.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0007.wav
8,@VuTruNguyenThuy,"Một sinh vật khôn ngoan như con người, để nỗi có thể tạo ra những trí khôn nhân tạo khác, và sinh vật đó được xuất hiện một cách tình cờ, liệu có phù hợp với những đặc điểm ngẫu nhiên mà thế giới vật chất đang quy định hay không?",audio_0008.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0008.wav
9,@BaodientuVOV,Mình cảm giác là đúng.,audio_0009.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0009.wav
10,@CosmicWriter,Trước cái không cảnh này thì mình bỗng được trải nghiệm một khoảnh khắc của sự mê hoặc.,audio_0010.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0010.wav
11,@W2WHorror,Khác hẳn với cảnh mở đầu của tập 4 khi Lachorn đã cầu nguyện phù phép để tăng hình trước đám sắc sống.,audio_0011.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0011.wav
12,@MensBay,"Cho nên á, trong cuộc sống này anh em mọi thứ nó sẽ có 50-50.",audio_0012.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0012.wav
13,@Nhantaidaiviet,Cha cháu làm sao ạ?,audio_0013.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0013.wav
14,@Vietcetera,Làm thế nào để bài học nó không bị quá căng thẳng.,audio_0014.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0014.wav
15,@KhanhVyOFFICIAL,Và cái đấy nó hình thành trách nhiệm trong mình.,audio_0015.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0015.wav
